"","Image_name","ObjectNumber","Location_Center_X","Location_Center_Y","HLA.ABC","CD57","CD31","CD14","C.peptide","Nestin","Glucagon","pan.Keratin","CD11b","CD44","PDX.1","CD45","CD56","beta.Actin","Foxp3","CD4","NKX6.1","CD68","Somatostatin","CD20","CD8","CD99","CA2","NFkb","GnzB","Ki67","Collagen","CD3","p16","pS6","CD45RO","HLA.DR","PP","GHRL","DNA191","DNA193"
"cell_5128","NPOD6009_Head_ROI1",5128,524.923913,586.7391304,0.8585216,0.18481152,0.11927552,1.1075584,0.13041664,0.2392064,0.2719744,5.2363264,3.3685504,0.9895936,0.45678592,0.28246016,0.2719744,3.2636928,1.4155776,0.6815744,0.15204352,0.46727168,0.32636928,0.09764864,0.4128768,4.9545216,0.1736704,0.29360128,0.08716288,0.021757952,0.7471104,0.42401792,1.2386304,0.8060928,0.21757952,0.22806528,0.1736704,0.2064384,70.544523264,130.512846848
"cell_5129","NPOD6009_Head_ROI1",5129,558.9313725,585.6862745,1.2910592,0.20578304,0.22544384,1.048576,0.17629184,0.27459584,0.24510464,4.3646976,3.2243712,0.9633792,2.490368,0.14680064,0.20578304,3.8731776,1.0616832,0.47054848,0.7667712,0.46071808,0.21561344,0.14680064,0.40173568,2.4117248,0.62717952,1.2255232,0.0688128,0.019595264,0.9043968,0.33357824,1.2910592,0.63700992,0.21561344,1.9595264,0.18612224,0.1179648,71.14817536,134.139281408
"cell_5130","NPOD6009_Head_ROI1",5130,568.974359,589.1965812,0.8650752,0.196608,0.17956864,0.9043968,0.22216704,0.17104896,0.31653888,2.9229056,9.265086464,0.40173568,0.32505856,0.26476544,0.18808832,4.1811968,1.3959168,0.4784128,0.14548992,0.40173568,0.2818048,0.22216704,1.0682368,3.7879808,0.14548992,0.17104896,0.10289152,0.042729472,1.2386304,0.7667712,1.2910592,1.6908288,0.21364736,0.2818048,0.1540096,0.23068672,77.018300416,143.395323904
"cell_5131","NPOD6009_Head_ROI1",5131,870.0121951,586.0487805,0.950272,0.25624576,0.12189696,1.1206656,0.07340032,0.19529728,0.1343488,5.963776,3.145728,0.524288,1.998848,0.18284544,0.29294592,4.2795008,1.1862016,0.41484288,0.56098816,0.36569088,0.29294592,0.15859712,0.524288,2.850816,0.9764864,1.80224,0.07340032,0.06094848,0.6684672,0.47579136,1.14688,1.7956864,0.25624576,0.46333952,0.09764864,0.14614528,51.537379328,97.245396992
"cell_5132","NPOD6009_Head_ROI1",5132,461.2068966,589.5931034,1.015808,0.16580608,0.10354688,0.7733248,0.15859712,0.1933312,0.17235968,3.1981568,4.3778048,0.25493504,0.21364736,0.14483456,0.25493504,3.0408704,1.31072,0.42729472,0.131072,0.64159744,0.21364736,0.07602176,0.786432,3.2636928,0.09633792,0.15859712,0.08978432,0.041353216,0.24117248,0.44171264,1.4876672,0.40697856,0.1376256,0.49676288,0.15204352,0.16580608,70.725206016,128.788201472
"cell_5133","NPOD6009_Head_ROI1",5133,796.6091954,587.091954,2.2872064,0.28704768,0.720896,4.9545216,0.58589184,1.14688,0.46006272,0.37945344,2.0905984,0.6094848,0.18415616,0.25296896,0.17235968,11.218583552,1.4352384,0.49414144,0.1376256,5.6557568,0.23003136,0.10354688,0.55181312,5.1511296,0.18415616,0.17235968,0.9109504,0.16121856,2.5427968,0.43646976,1.5269888,2.4969216,1.0092544,2.9753344,0.14942208,0.21823488,81.012719616,153.094324224
"cell_5134","NPOD6009_Head_ROI1",5134,937.3965517,586,0.7733248,0.1376256,0.15532032,0.7929856,0.43122688,0.32768,0.27590656,3.6896768,4.5350912,0.41353216,0.56885248,0.17235968,0.3964928,4.3646976,1.1927552,0.55181312,0.1376256,0.51707904,0.48300032,0.1376256,0.20709376,6.3766528,0.22413312,0.41353216,0.08650752,0.034471936,1.8284544,0.41353216,1.1730944,3.0015488,0.24117248,0.6750208,0.22413312,0.31064064,39.397163008,74.949394432
"cell_5135","NPOD6009_Head_ROI1",5135,39.83908046,587.4137931,0.7798784,0.17235968,0.1376256,0.720896,0.10354688,0.17235968,0.18415616,6.3438848,3.1064064,0.49414144,2.0578304,0.10354688,0.28704768,3.6896768,1.4221312,0.36765696,0.44826624,0.32178176,0.18415616,0.12648448,0.37945344,3.473408,0.6684672,1.14688,0.08060928,0.0917504,1.736704,0.58589184,1.2845056,0.9568256,0.24117248,0.33357824,0.18415616,0.0917504,58.50660864,107.047616512
"cell_5136","NPOD6009_Head_ROI1",5136,73.68518519,588.0925926,0.7340032,0.12058624,0.1114112,0.786432,0.18546688,0.16646144,0.1572864,1.6187392,5.7868288,0.34275328,0.3702784,0.13893632,0.25952256,3.1588352,1.1403264,0.36110336,0.13893632,0.53673984,0.23134208,0.08323072,0.35192832,4.0173568,0.20381696,0.1015808,0.1572864,0.064815104,0.29622272,0.43515904,1.7563648,0.8781824,0.17563648,0.425984,0.1572864,0.22216704,70.917750784,130.983460864
"cell_5137","NPOD6009_Head_ROI1",5137,94.80722892,587.3855422,1.6646144,0.16842752,0.19267584,2.7721728,0.3014656,0.12058624,0.20512768,0.720896,3.8797312,0.28901376,0.31326208,0.28901376,0.24117248,4.7710208,1.0747904,0.50593792,0.18087936,3.1195136,0.16842752,0.1081344,0.62652416,3.6241408,0.18087936,0.21692416,0.7471104,0.09633792,1.9529728,0.50593792,1.8219008,4.1353216,0.62652416,1.605632,0.14483456,0.20512768,109.893255168,211.256213504
"cell_5138","NPOD6009_Head_ROI1",5138,327.4848485,588.9090909,1.9398656,0.15138816,0.42401792,1.8612224,0.030277632,0.65142784,0.18153472,2.6804224,0.8323072,0.39387136,0.33357824,0.16646144,0.0606208,2.818048,0.9371648,0.33357824,0.16646144,0.63635456,0.21233664,0.030277632,0.3637248,4.194304,0.37879808,0.2424832,0.015138816,0.030277632,3.5586048,0.2424832,1.409024,0.4390912,0.33357824,2.2872064,0.21233664,0.19726336,90.380173312,169.138978816
"cell_5139","NPOD6009_Head_ROI1",5139,605.1529412,587.8,1.9857408,0.1409024,0.07077888,0.54132736,1.3500416,0.09437184,11.082530816,0.7405568,0.49414144,0.2588672,0.28246016,0.17629184,0.41156608,2.6017792,0.8585216,0.30605312,0.7667712,0.37617664,0.37617664,0.1179648,0.43515904,20.49441792,0.1998848,0.08257536,0,0.01179648,6.9648384,0.22347776,0.5767168,0.15269888,0.09437184,0.15269888,0.21168128,0.1998848,65.28335872,124.543107072
"cell_5140","NPOD6009_Head_ROI1",5140,628.8914729,587.7286822,2.0774912,0.3801088,0.27131904,1.0878976,11.387797504,0.60489728,0.9043968,1.671168,0.8126464,0.3801088,3.1653888,0.18612224,1.14688,3.9518208,1.5269888,0.65142784,5.4525952,0.4882432,2.555904,0.28704768,0.8585216,28.10118144,0.13959168,0.13172736,0.054263808,0.04653056,1.7825792,0.41877504,0.8585216,0.11599872,0.13172736,0.44171264,0.27131904,0.44171264,61.326491648,115.234308096
"cell_5141","NPOD6009_Head_ROI1",5141,663.7592593,588.4135802,2.7066368,1.5007744,0.12976128,0.786432,3.6896768,0.25296896,5.5574528,0.7077888,0.54919168,0.16646144,0.30867456,0.25296896,1.14688,3.8600704,1.2976128,0.50593792,0.53673984,0.56819712,8.734703616,0.22872064,0.59244544,24.1238016,0.17301504,0.06815744,0.043188224,0.055574528,1.114112,0.39518208,0.64815104,0.07995392,0.1605632,0.3211264,0.13565952,0.53673984,52.006944768,98.95215104
"cell_5142","NPOD6009_Head_ROI1",5142,690.9705882,586.3235294,2.8246016,0.0884736,1.0616832,0.7077888,0.41156608,0.41156608,0.44105728,0.17629184,0.64684032,0.1179648,0.17629184,0.17629184,0.1179648,6.911885312,0.6750208,0.35323904,0.029425664,0.47054848,0.32374784,0.14680064,0.29425664,3.997696,0,0.0884736,0.0884736,0,3.1195136,0.14680064,0.7340032,0.35323904,0.0884736,0.29425664,0.32374784,0.17629184,44.17716224,81.354162176
"cell_5143","NPOD6009_Head_ROI1",5143,737.3872832,588.416185,2.6607616,0.32964608,0.12713984,0.688128,1.6580608,0.23134208,11.410604032,0.6815744,0.60096512,0.36438016,0.2424832,0.22544384,0.7798784,3.637248,0.9306112,0.45678592,0.45678592,0.393216,1.245184,0.25427968,0.36438016,27.746107392,0.17891328,0.08060928,0.040435712,0.06356992,5.7147392,0.35258368,0.6946816,0.14483456,0.10420224,0.294912,0.196608,0.58392576,36.162371584,67.972104192
"cell_5144","NPOD6009_Head_ROI1",5144,137.509434,592.0880503,0.7995392,0.17629184,0.11927552,1.212416,0.16973824,0.1572864,0.26411008,2.5427968,5.8195968,0.2392064,0.28901376,0.20119552,0.22020096,4.2991616,1.3369344,0.6160384,0.16973824,0.64749568,0.25165824,0.16384,0.42139648,4.1680896,0.2260992,0.28311552,0.08192,0.050331648,0.59113472,0.6684672,1.2386304,2.6148864,0.25755648,0.53477376,0.22020096,0.34603008,47.371780096,85.548466176
"cell_5145","NPOD6009_Head_ROI1",5145,175.3448276,588.4482759,1.4942208,0.20709376,0.19529728,1.6580608,0.18415616,0.0917504,0.26411008,6.574833664,1.6121856,1.1272192,2.359296,0.31064064,0.29884416,5.111808,1.3893632,0.46006272,0.6750208,0.7929856,0.25296896,0.0917504,0.28704768,1.9857408,0.8650752,1.1599872,0.10354688,0.057475072,1.0682368,0.23003136,1.1927552,1.114112,0.10354688,0.8257536,0.16121856,0.17235968,76.012650496,142.829748224
"cell_5146","NPOD6009_Head_ROI1",5146,194.6896552,587.4482759,1.1927552,0.1376256,0.12058624,2.2740992,0.22413312,0.22413312,0.18939904,3.8600704,3.899392,0.41353216,0.41353216,0.4653056,0.4653056,5.0855936,1.4155776,0.65536,0.15532032,0.8454144,0.44826624,0.17235968,0.48300032,3.7224448,0.2588672,0.36175872,0.17235968,0.08650752,0.34471936,0.65536,1.4286848,2.8442624,0.32768,1.3959168,0.31064064,0.20709376,87.4496,160.03694592
"cell_5147","NPOD6009_Head_ROI1",5147,240.8533333,588.8266667,1.0289152,0.06684672,0.053346304,0.57344,0.1998848,0.15990784,0.11993088,1.6646144,0.51970048,1.277952,0.30670848,0.26673152,0.13303808,2.5624576,0.7602176,0.35979264,0.1867776,2.3199744,0.22675456,0.03997696,0.14680064,2.064384,0.15990784,0.31981568,0.31981568,0.03997696,6.520832,0.1998848,1.0420224,0.3735552,0.14680064,0.21364736,0.10682368,0.11993088,98.42819072,183.44280064
"cell_5148","NPOD6009_Head_ROI1",5148,334.6315789,588.9210526,1.3697024,0.15794176,0.32899072,1.0682368,0.14483456,0.7602176,0.18415616,2.3527424,1.3959168,0.26345472,0.14483456,0.18415616,0.22347776,3.4603008,0.950272,0.48693248,0.065536,0.59179008,0.23658496,0.11862016,0.57868288,5.7081856,0.11862016,0.11862016,0.0786432,0.039452672,3.7224448,0.26345472,1.1206656,1.2648448,0.18415616,1.8153472,0.30277632,0.11862016,70.369476608,134.146752512
"cell_5149","NPOD6009_Head_ROI1",5149,496.5846154,589.5076923,0.8781824,7.930904576,0.14614528,0.884736,0.11534336,0.1540096,0.31522816,3.0867456,3.7224448,0.51511296,0.2228224,0.1769472,0.23068672,2.9097984,1.1665408,0.59244544,0.11534336,0.45416448,0.33816576,0.131072,0.33816576,4.128768,0.16121856,0.20774912,0.061538304,0.10747904,0.507904,0.3997696,1.3303808,0.60030976,0.18481152,0.18481152,0.12320768,0.14614528,71.124189184,132.271243264
"cell_5150","NPOD6009_Head_ROI1",5150,816.2181818,587.5818182,2.5624576,0.27262976,0.21823488,1.0747904,0.09109504,0.21823488,0.3997696,3.7814272,3.0932992,2.4576,3.2178176,0.14548992,0.25427968,5.1970048,1.4024704,0.38207488,0.98304,0.58195968,0.18153472,0.21823488,0.23658496,2.162688,1.2910592,2.0185088,0.16384,0,0.25427968,0.45481984,1.6187392,2.162688,0.27262976,0.32702464,0.18153472,0.16384,91.692335104,170.766237696
"cell_5151","NPOD6009_Head_ROI1",5151,928.6486486,589.8378378,0.7667712,0.1441792,0.12582912,0.8912896,0.23396352,0.17104896,0.22544384,2.3855104,3.7552128,0.24313856,0.23396352,0.180224,0.48627712,3.4340864,1.4876672,0.35127296,0.12582912,0.49545216,0.37814272,0.12582912,0.360448,6.801915904,0.17104896,0.33357824,0.08126464,0.0540672,1.6842752,0.62193664,1.5335424,2.4772608,0.16187392,0.37814272,0.19791872,0.37814272,72.838938624,134.677725184
"cell_5152","NPOD6009_Head_ROI1",5152,29.26966292,590.5730337,0.8650752,0.11206656,0.056164352,0.8192,0.16842752,0.056164352,0.22478848,4.6399488,1.8087936,0.43843584,1.1993088,0.14614528,0.19070976,3.1260672,1.3172736,0.49414144,0.21364736,0.33685504,0.28114944,0.21364736,0.29229056,3.7617664,0.28114944,0.786432,0.13500416,0.0786432,1.8415616,0.65142784,1.4483456,1.1665408,0.1572864,0.29229056,0.16842752,0.14614528,57.0458112,108.024102912
"cell_5153","NPOD6009_Head_ROI1",5153,296.7809524,591.0095238,1.1993088,0.19070976,0.3047424,0.9699328,0.19070976,0.16187392,0.19070976,4.554752,5.1970048,0.5046272,0.53346304,0.19070976,0.3047424,3.735552,1.4876672,0.688128,0.24772608,0.53346304,0.33357824,0.11403264,0.46661632,3.3685504,0.2097152,0.33357824,0.14286848,0.057147392,0.8454144,0.55246848,1.3828096,0.9240576,0.1998848,0.42860544,0.27590656,0.15269888,72.429666304,135.04970752
"cell_5154","NPOD6009_Head_ROI1",5154,391.462963,588.9444444,0.9043968,0.44433408,0.24051712,0.57409536,0.25952256,0.24051712,0.12976128,3.0212096,5.1511296,0.4816896,0.3145728,0.09240576,0.29622272,3.3357824,1.409024,0.44433408,0.20381696,0.6684672,0.3702784,0.07405568,0.18546688,4.1680896,0.09240576,0.18546688,0.07405568,0.09240576,0.3702784,0.51838976,1.5532032,0.851968,0.12976128,0.53673984,0.22216704,0.16646144,79.427141632,151.465295872
"cell_5155","NPOD6009_Head_ROI1",5155,721.2681159,589.3768116,2.8573696,0.6946816,0.2392064,0.8454144,2.686976,0.26083328,15.652421632,0.9764864,0.7995392,0.24641536,0.29687808,0.376832,1.2386304,3.4144256,1.2582912,0.35520512,0.56492032,0.60882944,1.3697024,0.18808832,0.44957696,24.761270272,0.1376256,0.07995392,0.07995392,0.06520832,3.309568,0.39124992,0.6750208,0.1736704,0.18808832,0.31916032,0.23199744,0.39124992,66.131460096,122.5670656
"cell_5156","NPOD6009_Head_ROI1",5156,753.469697,588.2272727,2.5165824,0.25755648,0.33357824,1.212416,12.257787904,0.7274496,1.1534336,0.6684672,0.8323072,7.045578752,3.3488896,0.28770304,0.7602176,4.030464,1.6973824,0.59113472,3.1653888,0.46989312,1.0616832,0.30277632,0.7602176,23.151837184,0.16646144,0.15138816,0.16646144,0.16646144,0.8912896,0.46989312,0.7602176,0.16646144,0.045481984,0.54525952,0.15138816,0.57606144,60.30393344,107.577409536
"cell_5157","NPOD6009_Head_ROI1",5157,887.8020833,590.6354167,1.14688,0.114688,0.3538944,1.3828096,0.19791872,0.4685824,0.27066368,1.5925248,1.6580608,0.20840448,0.19791872,0.24969216,0.23986176,3.801088,1.1862016,0.5210112,0.114688,0.36438016,0.32309248,0.24969216,1.7629184,4.9610752,0.18743296,0.18743296,0.05210112,0.062521344,3.0212096,0.62521344,1.6449536,2.3134208,0.43778048,1.80224,0.15597568,0.21889024,86.074261504,162.137899008
"cell_5158","NPOD6009_Head_ROI1",5158,970.576087,590.4891304,1.0551296,0.16318464,0.19595264,1.5990784,0.24969216,0.14155776,0.2064384,3.3292288,3.2309248,0.2719744,0.31522816,0.2392064,0.32636928,4.3712512,1.0747904,0.55443456,0.21757952,0.54329344,0.36962304,0.15204352,0.30408704,5.0659328,0.16318464,0.08716288,0.14155776,0.043450368,1.4155776,0.4128768,1.3172736,2.8377088,0.32636928,3.3619968,0.24969216,0.22806528,52.381220864,98.686271488
"cell_5159","NPOD6009_Head_ROI1",5159,65.28767123,590.7123288,1.4548992,0.0688128,0.3833856,0.7667712,0.10944512,0.50659328,0.20578304,1.0289152,2.6148864,1.4942208,0.13697024,0.09568256,1.409024,3.7945344,0.9437184,0.3833856,0.054788096,0.4521984,0.2326528,0.09568256,0.19202048,4.8234496,0.20578304,0.12320768,0.08192,0.041091072,1.2058624,0.36962304,1.0420224,2.359296,0.27394048,0.851968,0.13697024,0.16449536,67.48045312,127.001952256
"cell_5160","NPOD6009_Head_ROI1",5160,83.60416667,589.1875,0.917504,0.14614528,0.062521344,1.081344,0.12517376,0.12517376,0.31260672,1.9791872,3.8141952,0.45809664,0.47906816,0.18743296,0.43778048,5.1642368,1.6449536,0.56229888,0.12517376,0.7077888,0.16646144,0.10420224,0.33357824,6.895960064,0.16646144,0.2916352,0.08323072,0.041680896,0.6684672,0.9371648,1.5597568,2.8770304,0.27066368,0.8126464,0.33357824,0.16646144,55.480025088,101.876563968
"cell_5161","NPOD6009_Head_ROI1",5161,101.4230769,590.3461538,2.2085632,0.019202048,0.24969216,3.309568,0.24969216,0.11534336,0.09633792,0.8060928,2.555904,0.23068672,0.1343488,0.2883584,0.1343488,3.211264,0.9240576,0.34603008,0.1343488,4.3450368,0.21168128,0.09633792,0.7340032,2.6148864,0.17301504,0.1343488,2.2872064,0.1540096,2.5755648,0.26935296,1.2320768,0.42336256,2.2872064,3.5782656,0.09633792,0.17301504,111.251685376,206.676230144
"cell_5162","NPOD6009_Head_ROI1",5162,108.7027027,588.5135135,1.8087936,0.16187392,0.51380224,1.4352384,0.18939904,0.29753344,0.13500416,0.753664,3.1326208,0.753664,0.6750208,0.40566784,1.245184,4.2729472,1.2713984,0.540672,0.24313856,2.6476544,0.16187392,0.2162688,1.1075584,3.5913728,0.4325376,0.2162688,1.2713984,0.08126464,1.1075584,0.48627712,0.9437184,1.4876672,1.4352384,3.2964608,0.027000832,0.0540672,51.244040192,95.893323776
"cell_5163","NPOD6009_Head_ROI1",5163,231.5505618,590.988764,1.47456,0.21364736,0.13500416,1.0223616,0.28114944,0.30343168,0.25821184,5.4919168,1.7629184,0.65142784,3.0670848,0.1572864,0.22478848,4.0697856,1.245184,0.40435712,1.3828096,0.34799616,0.35979264,0.13500416,0.34799616,2.1364736,0.9568256,2.2216704,0.10092544,0.0786432,2.2020096,0.53936128,1.3172736,1.1665408,0.17956864,0.28114944,0.2359296,0.14614528,110.855651328,199.935655936
"cell_5164","NPOD6009_Head_ROI1",5164,265.3214286,591.6071429,0.6160384,0.10682368,0.1605632,0.52690944,0.098304,0.18743296,0.24969216,2.3330816,2.9884416,0.23199744,0.24969216,0.14286848,0.3571712,3.178496,1.2386304,0.43778048,0.196608,0.49086464,0.13369344,0.053542912,0.34799616,4.3122688,0.17825792,0.28573696,0.1605632,0.044630016,0.4554752,0.7077888,1.8219008,1.081344,0.31260672,0.42860544,0.22347776,0.33030144,67.009970176,122.5375744
"cell_5165","NPOD6009_Head_ROI1",5165,288.0204082,590.0816327,1.4286848,0.20381696,0.22478848,0.9764864,0.2654208,0.22478848,0.14286848,3.6765696,1.3041664,1.2648448,1.998848,1.1010048,0.20381696,7.693991936,1.3893632,0.36765696,0.57147392,0.59179008,0.30605312,0.14286848,7.67361024,3.7748736,0.48955392,1.0223616,0.22478848,0.14286848,1.0027008,2.7787264,1.2058624,0.8781824,1.3697024,0.36765696,0.24510464,0.08192,110.430257152,208.880730112
"cell_5166","NPOD6009_Head_ROI1",5166,376.4020619,591.2268041,0.7012352,0.15466496,0.2064384,0.8781824,0.1343488,0.15466496,0.2064384,1.7235968,3.1260672,0.12386304,0.36110336,0.32964608,0.2064384,3.2374784,1.3631488,0.58785792,0.25755648,0.7340032,0.3506176,0.15466496,0.24772608,6.556811264,0.12386304,0.29884416,0.09306112,0.041222144,0.44302336,0.58785792,1.9791872,0.7012352,0.2162688,0.34013184,0.17498112,0.2883584,92.300378112,173.425360896
"cell_5167","NPOD6009_Head_ROI1",5167,384.7160494,590.9753086,1.605632,0.12320768,0.28377088,0.8126464,0.18546688,0.13565952,0.17301504,1.6187392,2.29376,0.42008576,0.19726336,0.19726336,0.13565952,2.7656192,1.0354688,0.45678592,0.12320768,0.61734912,0.049414144,0.09895936,0.24707072,4.620288,0.09895936,0.18546688,0.061734912,0.03702784,1.8612224,0.60489728,1.8612224,0.8912896,0.07405568,1.8743296,0.17301504,0.13565952,79.44568832,149.57019136
"cell_5168","NPOD6009_Head_ROI1",5168,430.9274194,591.9516129,0.8388608,0.1048576,0.064487424,0.64487424,0.1212416,0.1212416,0.18546688,2.7000832,4.9283072,0.3145728,0.21757952,0.09699328,0.2981888,2.94912,1.0354688,0.4030464,0.18546688,0.63700992,0.1933312,0.09699328,0.3309568,4.4630016,0.13697024,0.13697024,0.12910592,0.032243712,0.64487424,0.39518208,1.5859712,0.8978432,0.25821184,0.24969216,0.13697024,0.14548992,69.831688192,127.768068096
"cell_5169","NPOD6009_Head_ROI1",5169,536.8823529,592.0117647,0.6684672,0.21168128,0.09437184,1.7498112,0.047054848,0.17629184,0.15269888,1.9070976,3.8731776,0.17629184,0.1179648,0.1409024,0.8323072,2.4969216,0.9895936,0.34144256,0.12910592,0.35323904,0.30605312,0.16449536,0.35323904,4.6137344,0.15269888,0.12910592,0.058851328,0.023527424,1.5269888,0.43515904,0.9764864,0.7077888,0.058851328,0.27066368,0.09437184,0.1998848,39.388839936,78.001209344
"cell_5170","NPOD6009_Head_ROI1",5170,547.4222222,592.1407407,0.7143424,0.14811136,0.1998848,1.3893632,0.12582912,0.24444928,0.1998848,2.6017792,7.148273664,0.29622272,0.18546688,0.229376,0.25165824,3.0081024,1.3697024,0.55574528,0.14811136,0.37748736,0.24444928,0.07405568,0.41484288,4.0894464,0.1998848,0.1409024,0.07405568,0.007405568,0.9633792,0.40763392,1.4286848,0.8323072,0.17760256,1.5990784,0.14811136,0.16318464,60.586131456,112.705404928
"cell_5171","NPOD6009_Head_ROI1",5171,597.0793651,590.7301587,1.0616832,0.17432576,0.07929856,0.917504,0.42860544,0.0950272,0.6029312,0.19070976,0.39714816,0.17432576,0.17432576,0.14286848,0.15859712,2.490368,0.55574528,0.23789568,0.12713984,0.65077248,0.38076416,0.063504384,0.19070976,3.3161216,0.17432576,0.12713984,0.015859712,0.07929856,7.30169344,0.33357824,0.9699328,1.2845056,0.17432576,1.1730944,0.0950272,0.07929856,84.84257792,157.684924416
"cell_5172","NPOD6009_Head_ROI1",5172,651.8103448,594.4195402,2.0250624,0.55771136,0.12648448,0.7667712,2.3134208,0.24117248,8.580562944,0.753664,0.58589184,0.15532032,0.47120384,0.17235968,0.8650752,3.44064,1.4221312,0.46006272,0.8454144,0.46006272,20.379598848,0.31588352,0.45416448,19.506069504,0.21823488,0.09764864,0.0917504,0.0688128,0.42532864,0.38535168,0.57475072,0.13238272,0.09764864,0.21233664,0.25296896,0.43646976,55.610048512,102.903840768
"cell_5173","NPOD6009_Head_ROI1",5173,777.4090909,589.6818182,1.7301504,0.40894464,0.13631488,3.047424,0.40894464,0.31850496,0.9109504,0.22740992,0.50003968,0.18153472,0.22740992,0.18153472,0.31850496,4.9086464,1.0878976,0.8192,0.3637248,1.9529728,12.000165888,0.13631488,0.27262976,5.1380224,0.045481984,0.22740992,0.09109504,0.045481984,9.500164096,0.22740992,0.31850496,1.5466496,0.31850496,4.9545216,0.27262976,0.18153472,28.318629888,50.591694848
"cell_5174","NPOD6009_Head_ROI1",5174,806.1940299,591.9402985,1.1665408,0.14942208,0.22413312,2.523136,0.35848192,0.22413312,0.41811968,1.8808832,2.7000832,1.7760256,0.47775744,0.22413312,0.14942208,3.833856,1.2517376,0.5668864,0.22413312,2.2806528,0.58195968,0.10420224,0.32833536,4.718592,0.4325376,0.38797312,0.11927552,0.25362432,3.4471936,0.41811968,1.4352384,1.9529728,0.61210624,0.49283072,0.2686976,0.23855104,82.359484416,155.076984832
"cell_5175","NPOD6009_Head_ROI1",5175,116.75,590.0454545,1.2713984,0.09109504,0.20447232,2.883584,0.22740992,0.18153472,0.31850496,1.8612224,9.591062528,0.52297728,0.27262976,0.22740992,1.343488,8.22738944,1.4286848,0.9568256,0.15925248,6.5470464,0.15925248,0.06815744,0.6619136,5.701632,0.27262976,0.22740992,0.15925248,3.997696,0.8388608,0.63635456,1.2058624,3.5454976,0.61341696,4.161536,0.11337728,0.11337728,29.04588288,51.50081024
"cell_5176","NPOD6009_Head_ROI1",5176,189.0105263,593.0210526,1.1927552,0.147456,0.15794176,3.2636928,0.18939904,0.21037056,0.31588352,3.5258368,4.4826624,0.24182784,0.37879808,0.42074112,0.26345472,6.747455488,1.9136512,0.8716288,0.1998848,1.245184,0.13697024,0.18939904,0.48431104,5.1183616,0.17891328,0.36831232,0.12648448,0.031588352,0.43188224,0.7667712,2.1889024,3.2833536,0.47382528,1.5269888,0.2523136,0.45285376,78.411726848,146.202230784
"cell_5177","NPOD6009_Head_ROI1",5177,213.6321839,591.5747126,1.1599872,0.29884416,0.10354688,0.7929856,0.18415616,0.14942208,0.24117248,7.724269568,4.4957696,0.8716288,1.4483456,0.24117248,0.20709376,4.2532864,1.2517376,0.6094848,0.29884416,0.47120384,0.1376256,0.10354688,0.43646976,3.3226752,0.50593792,0.720896,0.08060928,0.046006272,0.51707904,0.56295424,0.9568256,0.7733248,0.12648448,0.34471936,0.18415616,0.17235968,60.334276608,108.817743872
"cell_5178","NPOD6009_Head_ROI1",5178,439.5,587.5,0.50003968,0,0,0.50003968,0.50003968,0,0,5.0003968,11.500191744,0,0,0,1.0027008,3.0015488,1.0027008,0.50003968,0,0,0,0,0,3.0015488,0,0.50003968,0,0,0,0,0.50003968,0.50003968,0,0,0,0,19.500302336,27.000438784
"cell_5179","NPOD6009_Head_ROI1",5179,613.7484663,593.0245399,1.835008,0.2392064,0.25165824,0.7667712,5.3870592,0.34340864,3.0081024,0.36831232,0.7798784,0.15925248,4.685824,0.18415616,0.7340032,3.3816576,1.6449536,0.40501248,3.4799616,0.34996224,0.4849664,0.18415616,0.60751872,16.270163968,0.20840448,0.11665408,0.04292608,0.04292608,3.9583744,0.44761088,0.8978432,0.1409024,0.17170432,0.36175872,0.20250624,0.36831232,80.271179776,148.35810304
"cell_5180","NPOD6009_Head_ROI1",5180,768,591.220339,1.3697024,0.32178176,0.2031616,0.57606144,0.27131904,0.11862016,2.3527424,0.32178176,0.25427968,4.816896,0.2031616,0.16973824,0.3899392,3.1195136,0.61014016,0.2031616,0.2031616,1.0878976,3.5913728,0.033882112,0.33882112,10.576461824,0.06750208,0.11862016,0.050855936,0.016973824,10.508632064,0.18612224,0.52559872,0.13565952,0.050855936,0.1015808,0.22020096,0.35586048,21.559640064,39.932788736
"cell_5181","NPOD6009_Head_ROI1",5181,915.4242424,591.1060606,0.98304,0.07602176,0.13631488,0.9240576,0.27262976,0.16646144,0.31850496,3.014656,2.0774912,0.53018624,0.33357824,0.22740992,0.22740992,3.9059456,1.2582912,0.65142784,0.15138816,0.40894464,0.50003968,0.13631488,0.6815744,3.5586048,0.07602176,0.19726336,0.07602176,0.015138816,0.21233664,0.54525952,1.5466496,1.5007744,0.16646144,0.37879808,0.15138816,0.21233664,59.440300032,110.28955136
"cell_5182","NPOD6009_Head_ROI1",5182,988.4387755,592.4387755,0.8060928,0.1736704,0.11206656,0.7929856,0.2654208,0.21430272,0.2752512,3.9583744,2.0381696,0.21430272,0.15335424,0.0917504,0.2752512,2.9360128,1.212416,0.5308416,0.25493504,0.41811968,0.7143424,0.11206656,0.37748736,4.0828928,0.14286848,0.2654208,0.12255232,0.051052544,0.7667712,0.55115776,1.8743296,3.76832,0.24510464,0.33685504,0.1835008,0.21430272,75.582799872,140.879724544
